,x,y,z,r,g,b
0,0.17385540692052812,-0.009585685308457282,1.4228814418777544,26.5,13.0,17.5
1,0.0907300308574949,0.28198139141891465,1.3139705477472075,108.0,47.5,121.5
2,0.021183560034108675,0.40242322936418246,1.1148020111148984,121.0,70.0,27.5
3,0.37209586358584873,0.572173154461617,1.8544719613005398,110.0,56.0,10.0
4,0.18948138182464172,-0.02207566889713716,1.4533092499674551,28.5,8.0,7.5
5,0.17385540692052812,-0.009585685308457282,1.4228814418777544,26.5,13.0,17.5
6,0.003404402839821809,-0.18034989430318313,1.0798190654010795,119.0,60.5,38.5
7,0.9346263222524078,0.8986258734865457,3.0238933808976327,22.0,96.0,52.5
8,0.17329202178411868,0.00829985536933901,1.4247070654263356,30.5,17.0,22.5
9,0.7630822989152316,1.0377456914126342,2.588612634416663,1.5,78.5,41.0
10,0.40089481179708386,0.5183249496543231,1.9373085233277816,116.5,61.5,14.0
11,0.1744821553251926,-0.0013678901498725522,1.4249523705447302,35.0,10.5,6.5
12,1.4076633620894035,1.1700985707778708,4.00738858479179,65.5,12.0,89.5
13,0.19962256583141344,-0.02800406720975743,1.4751753043888465,37.5,10.5,5.0
14,-0.009088599808825973,0.3246744780664798,1.0714943955975342,82.5,35.5,121.0
15,1.5596931948011505,1.282020730485694,4.31545200782359,95.0,38.5,124.0
16,-0.027248960124636415,0.0049182261967959315,1.0074260190633675,3.5,2.0,1.5
17,0.31325628681238554,0.6652260394203565,1.690260107743041,114.0,62.0,21.0
18,0.037507904106314605,-0.18313986141310665,1.1423888549731165,54.0,74.5,83.0
19,0.24292533973950933,0.5804321878101881,1.5581087437067085,3.0,76.0,28.5
20,0.5090595819177972,0.5277362013432022,2.180071035799935,17.0,91.5,44.5
21,0.2363061973020901,-0.012902445826892388,1.5606538325552441,93.5,75.5,79.5
22,1.3082735397425362,1.1041243081647203,3.8044526699501358,63.0,11.0,92.5
23,0.19883608550568388,0.5207578542281113,1.4778522027943468,119.0,57.0,9.5
24,-0.01678701734671858,0.009875306017546043,1.0289648654386288,15.5,2.5,2.0
25,1.7735100727717346,1.3840527272438388,4.766562961972158,110.5,55.0,9.0
26,0.039501682929492674,0.41166917905383127,1.1528144083887135,101.0,52.0,10.5
