,x,y,z,r,g,b,inlinear_idx
948,-0.04473915313194898,0.1612489333999341,1.015845387586232,62.5,92.0,76.0,1741.0
949,0.04941940600277659,0.008606666149338667,1.1623257140185121,10.5,124.5,120.0,1743.0
950,-0.03996390008177561,0.10688992183445696,1.0103505166976188,15.0,123.0,112.5,1745.0
951,0.12387744558783058,0.019388075603375896,1.3206030937456184,27.0,9.5,7.5,1750.0
952,0.22571049969036955,0.5548607960232639,1.5278598761888644,115.5,60.0,14.0,1751.0
953,0.005476026803267069,0.06108665636662413,1.0859295139361365,32.5,17.5,9.5,1753.0
954,0.020881585203380803,0.46192699817406957,1.093896652002242,14.5,92.0,52.0,1755.0
955,0.021080023431151017,0.11020995517079978,1.1304810022763019,15.5,119.5,105.5,1756.0
956,0.06368853147282835,0.07291531667288079,1.2066244245252096,3.0,116.0,116.0,1760.0
957,0.33240993611129654,0.6693904527273986,1.7318091939490727,109.0,52.0,3.5,1761.0
958,0.33234808475982647,-0.26294256560908114,1.7240325783197672,14.0,4.5,2.0,1762.0
959,0.18277905962124458,-0.004902827414483046,1.4427446121050436,21.5,3.5,5.5,1763.0
960,-0.027759089171838534,0.34718098920985263,1.021542405966138,29.0,112.5,74.5,1766.0
961,0.09550519046323735,0.10445409015553286,1.2819573158367805,18.0,124.5,121.5,1767.0
962,0.2527195720855528,0.6323859506154286,1.5637217436171094,20.0,96.5,58.0,1769.0
963,0.021342177811482517,0.42823891421647103,1.1058961847321216,41.0,117.5,70.0,1770.0
964,0.02122305136224915,0.1262680941039126,1.1343109189425973,17.0,120.0,103.5,1771.0
965,0.08887067519682189,-0.1297876322403741,1.20961991210155,39.0,11.0,6.5,1774.0
966,0.13096437812660913,0.08764964974238282,1.3529647699661254,2.5,121.0,93.0,1776.0
967,0.6044924794505685,0.8471080364732235,2.291846488336974,30.0,102.5,54.0,1779.0
968,0.08080782831921964,0.03909348541148726,1.2339941833034416,38.5,19.0,13.5,1782.0
969,0.09500729323884388,0.4468362363637639,1.266785513259801,95.0,43.5,1.5,1785.0
970,0.19159904306849285,0.5889137984890404,1.4392832098965787,117.0,63.5,18.5,1787.0
971,0.13380604707148472,0.09066134556962162,1.3598222894842842,117.5,103.0,87.0,1788.0
972,0.12226789376900592,-0.06749136038281348,1.2954435853522464,37.0,16.5,15.5,1790.0
973,0.0771421382158572,0.38771996036470097,1.2462242394098633,27.5,100.0,44.5,1791.0
974,0.206720485422348,0.4418172501064896,1.5216673839468366,100.5,46.5,0.0,1796.0
975,0.040674454387981736,-0.01227041728035646,1.138176224600194,65.0,64.0,59.5,1797.0
976,0.17109646295383812,0.5050949059260604,1.420176199292329,24.0,97.5,52.5,1800.0
