,q1_x,q1_y,q2_x,q2_y
0,0.10243628506174851,0.13438174808507175,0.026525703838005232,0.047624115251068355
1,0.12007750536451545,0.0631294676001376,0.006212765283210242,0.15240606722167893
2,0.1465901940279588,0.049236016326687615,0.06621668115312185,0.13031323281091556
3,0.07868797703444153,0.10446651082409819,-0.1294959293626865,-0.038202225255323796
4,-0.0640123774310083,-0.03467309701171589,-0.04682074652777779,0.05592708927504342
5,0.11383418271494272,0.03592025489370565,0.014803063432565544,0.12529906607634356
6,0.10523143526818046,0.12306646849648706,0.011298232539294517,0.1399941884416196
7,0.10523143526818046,0.12306646849648706,0.011298232539294517,0.1399941884416196
8,0.08578308627136755,-0.11135765671401926,-0.024341913162755358,-0.10958437454729825
9,-0.011732613990294127,0.01563978354067075,0.09628286614515424,0.11367297846045199
10,-0.04726460642112129,-0.0036257164004780407,0.014932437097095463,0.13667715802911773
11,-0.035490400459945004,-0.17795725986437055,-0.328672238576072,0.009661079195639521
12,0.25496054987414896,0.3857159449469433,0.022413262349702978,0.059125815994857334
13,0.6234751025369405,0.29562964585144136,0.06754974626068377,0.03341373740357456
14,0.10230486009253226,-0.11495635248035274,-0.005935626946617423,-0.10972736463086702
15,-0.07006683858014628,-0.20948392074211392,0.0004780247265681048,0.1251515843428581
16,0.07785592541286401,0.1767914114560698,-0.011941988537592318,0.19088592595610598
17,-0.08345694212434807,0.06020936464444804,0.12994718102636538,0.08994253093084525
18,-0.46352115361980295,0.3294990204666449,0.17665920840576554,-0.21379256245020278
19,0.08279992338023323,-0.006047705990601893,-0.020949974761878876,-0.00010443970239393252
20,0.524452259207953,0.26246945678056643,0.06958223553165288,0.026251324152542388
21,0.05346166861328405,0.05883948215449808,-0.1265028989886643,-0.01955094959845355
22,0.12119546641858614,-0.05519010501548238,0.11559901209166301,0.07118780585660223
23,0.1688044798230841,0.05634325655512096,0.009727923434557417,0.07639497206830359
24,-0.07701779061187164,0.025484737444317673,-0.08674635065822833,-0.058855998693955525
25,0.09587267594252502,0.11210217421320434,0.09633931239135163,0.10264176920360712
